GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018,
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018,
0500000US48001,48001,"Anderson County, Texas",58458,58459,58497,58394,58065,57977,57849,57646,57550,58212,58057,REP
0500000US48003,48003,"Andrews County, Texas",14786,14786,14849,15388,16113,16788,17445,18083,17805,17631,18128,REP
0500000US48005,48005,"Angelina County, Texas",86771,86771,86905,87295,87520,87333,87599,87874,87759,87711,87092,REP
0500000US48007,48007,"Aransas County, Texas",23158,23158,23182,23214,23457,23890,24570,24815,25191,25447,23792,REP
0500000US48009,48009,"Archer County, Texas",9054,9055,9112,8834,8809,8795,8837,8758,8780,8786,8786,REP
0500000US48011,48011,"Armstrong County, Texas",1901,1901,1902,1936,1953,1939,1913,1901,1843,1881,1892,REP
0500000US48013,48013,"Atascosa County, Texas",44911,44911,44953,45489,46430,47012,47708,48349,48703,49069,50310,REP
0500000US48015,48015,"Austin County, Texas",28417,28412,28362,28599,28561,28684,28972,29473,29636,29757,29989,REP
0500000US48017,48017,"Bailey County, Texas",7165,7165,7154,7175,7141,7128,6970,7222,7185,7054,7027,REP
0500000US48019,48019,"Bandera County, Texas",20485,20489,20562,20542,20594,20560,20816,21148,21705,22324,22824,REP
0500000US48021,48021,"Bastrop County, Texas",74171,74202,74362,75141,74858,75944,77994,80281,82827,84809,86976,REP
0500000US48023,48023,"Baylor County, Texas",3726,3726,3708,3695,3590,3578,3567,3609,3638,3559,3582,REP
0500000US48025,48025,"Bee County, Texas",31861,31861,31863,32311,32483,32812,32846,32612,32809,32599,32587,REP
0500000US48027,48027,"Bell County, Texas",310235,310159,312850,315780,324973,327061,330208,336174,341305,347851,355642,REP
0500000US48029,48029,"Bexar County, Texas",1714773,1714772,1722855,1755340,1789091,1821863,1858787,1896116,1929530,1958841,1986049,DEM
0500000US48031,48031,"Blanco County, Texas",10497,10495,10510,10577,10627,10648,10817,11042,11323,11513,11702,REP
0500000US48033,48033,"Borden County, Texas",641,641,646,632,613,646,665,655,657,670,648,REP
0500000US48035,48035,"Bosque County, Texas",18212,18217,18272,18263,18130,17869,17719,17868,18014,18318,18691,REP
0500000US48037,48037,"Bowie County, Texas",92565,92564,92636,92922,93129,93487,93502,93494,93994,93977,94324,REP
0500000US48039,48039,"Brazoria County, Texas",313166,313123,314447,319159,324284,329986,337698,345617,353778,362700,370200,REP
0500000US48041,48041,"Brazos County, Texas",194851,194861,195663,197416,200261,204141,209030,216450,220156,223572,226758,REP
0500000US48043,48043,"Brewster County, Texas",9232,9232,9260,9352,9262,9290,9151,9136,9197,9330,9267,REP
0500000US48045,48045,"Briscoe County, Texas",1637,1637,1632,1658,1575,1561,1551,1515,1485,1518,1516,REP
0500000US48047,48047,"Brooks County, Texas",7223,7223,7208,7217,7199,7263,7234,7200,7200,7153,7114,DEM
0500000US48049,48049,"Brown County, Texas",38106,38106,38078,37998,37811,37673,37555,37749,38074,37870,37924,REP
